"","date","year","month","day","GPP_U50"
"1",2004-01-01,2004,"01","01",0.186504109686176
"15",2004-01-02,2004,"01","02",0.101103351563285
"29",2004-01-03,2004,"01","03",0.315580029241843
"43",2004-01-04,2004,"01","04",0.245553399570677
"57",2004-01-05,2004,"01","05",0.176141586147067
"71",2004-01-06,2004,"01","06",0.127494124647624
"85",2004-01-07,2004,"01","07",-0.0144549660425966
"99",2004-01-08,2004,"01","08",-0.239910715292873
"113",2004-01-09,2004,"01","09",-0.271674396534017
"127",2004-01-10,2004,"01","10",-0.161638831140621
"141",2004-01-11,2004,"01","11",-0.0627489241840943
"155",2004-01-12,2004,"01","12",0.0762035865400994
"169",2004-01-13,2004,"01","13",0.01332867291173
"183",2004-01-14,2004,"01","14",-0.33636573454495
"197",2004-01-15,2004,"01","15",-0.364708945072833
"211",2004-01-16,2004,"01","16",-0.248615950019423
"225",2004-01-17,2004,"01","17",0.0780127592742666
"239",2004-01-18,2004,"01","18",0.144574075999675
"253",2004-01-19,2004,"01","19",0.0300832577555703
"267",2004-01-20,2004,"01","20",-0.00173655216532353
"281",2004-01-21,2004,"01","21",-0.0567430001979595
"295",2004-01-22,2004,"01","22",-0.0358110773701236
"309",2004-01-23,2004,"01","23",-0.140552375752588
"323",2004-01-24,2004,"01","24",-0.228461073226582
"337",2004-01-25,2004,"01","25",-0.230712109324812
"351",2004-01-26,2004,"01","26",-0.169237522119734
"365",2004-01-27,2004,"01","27",-0.0866885832866644
"379",2004-01-28,2004,"01","28",0.015078670574201
"393",2004-01-29,2004,"01","29",-0.0127869772963427
"407",2004-01-30,2004,"01","30",-0.0790081438686506
"421",2004-01-31,2004,"01","31",-0.0173927561612681
"435",2004-02-01,2004,"02","01",-0.124213760914897
"449",2004-02-02,2004,"02","02",0.0805810179251026
"463",2004-02-03,2004,"02","03",-0.147008595674729
"477",2004-02-04,2004,"02","04",0.0389209298423079
"491",2004-02-05,2004,"02","05",0.248338183809257
"505",2004-02-06,2004,"02","06",0.494046691777972
"519",2004-02-07,2004,"02","07",0.810770203206879
"533",2004-02-08,2004,"02","08",0.700981291231157
"547",2004-02-09,2004,"02","09",1.17911891334968
"561",2004-02-10,2004,"02","10",1.19946269577278
"575",2004-02-11,2004,"02","11",0.764671591649922
"589",2004-02-12,2004,"02","12",0.610848028806765
"603",2004-02-13,2004,"02","13",0.231364687957027
"617",2004-02-14,2004,"02","14",0.299460411319342
"631",2004-02-15,2004,"02","15",0.238386303825667
"645",2004-02-16,2004,"02","16",0.315577633531498
"659",2004-02-17,2004,"02","17",0.189106138574661
"673",2004-02-18,2004,"02","18",0.305644848914516
"687",2004-02-19,2004,"02","19",0.421119559662796
"701",2004-02-20,2004,"02","20",0.297040747461434
"715",2004-02-21,2004,"02","21",0.26455198179829
"729",2004-02-22,2004,"02","22",0.326463050605907
"743",2004-02-23,2004,"02","23",0.210898114352284
"757",2004-02-24,2004,"02","24",0.0511433760026619
"771",2004-02-25,2004,"02","25",0.091083349831859
"785",2004-02-26,2004,"02","26",-0.0391129061282881
"799",2004-02-27,2004,"02","27",0.020053764513094
"813",2004-02-28,2004,"02","28",-0.0155001432665232
"827",2004-02-29,2004,"02","29",0.0784443018220753
"841",2004-03-01,2004,"03","01",0.0437265318978164
"855",2004-03-02,2004,"03","02",0.019131983312774
"869",2004-03-03,2004,"03","03",-0.0158347843389573
"883",2004-03-04,2004,"03","04",0.407874558401277
"897",2004-03-05,2004,"03","05",0.183869011862762
"911",2004-03-06,2004,"03","06",0.250424403784608
"925",2004-03-07,2004,"03","07",-0.0153288842256937
"939",2004-03-08,2004,"03","08",0.131824249797782
"953",2004-03-09,2004,"03","09",0.190836343190306
"967",2004-03-10,2004,"03","10",0.101526730191354
"981",2004-03-11,2004,"03","11",0.0505222992982732
"995",2004-03-12,2004,"03","12",0.0813673705017479
"1009",2004-03-13,2004,"03","13",-0.109893774924377
