#
# Transition date estimate for kendall
#
# Site: kendall
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 13:16:32
# Spline RMSE gcc_mean: 0.00098
# Spline RMSE gcc_50: 0.00105
# Spline RMSE gcc_75: 0.001
# Spline RMSE gcc_90: 0.00108
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kendall,GR,1000,rising,gcc_90,2012-07-10,2012-07-13,2012-07-25,2012-07-09,2012-07-12,2012-07-23,2012-07-12,2012-07-14,2012-07-27,0.36757,0.37382,0.384,0.36449,0.40329
kendall,GR,1000,rising,gcc_90,2013-07-15,2013-07-18,2013-07-24,2013-07-14,2013-07-17,2013-07-22,2013-07-18,2013-07-20,2013-07-25,0.34978,0.35455,0.36576,0.34737,0.38256
kendall,GR,1000,rising,gcc_90,2014-07-25,2014-07-29,2014-08-05,2014-07-24,2014-07-28,2014-08-03,2014-07-27,2014-07-31,2014-08-06,0.3515,0.35834,0.37462,0.34628,0.40033
kendall,GR,1000,rising,gcc_90,2015-06-29,2015-07-02,2015-07-16,2015-06-28,2015-07-01,2015-07-13,2015-07-01,2015-07-04,2015-07-17,0.3559,0.36234,0.37405,0.35379,0.39218
kendall,GR,1000,rising,gcc_90,2016-07-05,2016-07-13,2016-07-25,2016-07-04,2016-07-11,2016-07-22,2016-07-07,2016-07-15,2016-07-27,0.35836,0.36508,0.37717,0.35422,0.39896
kendall,GR,1000,rising,gcc_90,2017-07-08,2017-07-12,2017-07-19,2017-07-07,2017-07-11,2017-07-18,2017-07-10,2017-07-14,2017-07-20,0.35929,0.36689,0.38315,0.3544,0.41028
kendall,GR,1000,rising,gcc_90,2018-08-03,2018-08-07,2018-08-11,2018-07-20,2018-08-05,2018-08-09,2018-08-04,2018-08-09,2018-08-12,0.36398,0.36685,0.37245,0.36245,0.38073
kendall,GR,1000,rising,gcc_90,2019-07-30,2019-08-02,2019-08-07,2019-07-29,2019-08-01,2019-08-05,2019-08-01,2019-08-03,2019-08-08,0.3584,0.36655,0.3792,0.35541,0.40003
kendall,GR,1000,rising,gcc_75,2012-07-10,2012-07-13,2012-07-25,2012-07-09,2012-07-12,2012-07-23,2012-07-12,2012-07-14,2012-07-26,0.36725,0.37311,0.38283,0.3641,0.40109
kendall,GR,1000,rising,gcc_75,2014-07-25,2014-07-29,2014-08-05,2014-07-24,2014-07-28,2014-08-04,2014-07-27,2014-07-31,2014-08-06,0.35,0.35641,0.37216,0.34514,0.39814
kendall,GR,1000,rising,gcc_75,2015-06-29,2015-07-02,2015-07-15,2015-06-28,2015-07-01,2015-07-12,2015-07-01,2015-07-03,2015-07-16,0.35513,0.36135,0.37161,0.3531,0.38839
kendall,GR,1000,rising,gcc_75,2016-07-04,2016-07-11,2016-07-25,2016-07-03,2016-07-08,2016-07-22,2016-07-06,2016-07-14,2016-07-27,0.35609,0.36291,0.37492,0.352,0.39694
